iter	Passed	Remaining
0	0	947
1	1	867
2	2	828
3	3	806
4	4	800
5	4	825
6	5	827
7	6	839
8	7	853
9	8	851
10	9	847
11	10	841
12	11	845
13	12	848
14	12	843
15	13	837
16	14	832
17	15	827
18	15	822
19	16	818
20	17	816
21	18	813
22	19	809
23	19	804
24	20	802
25	21	800
26	22	799
27	22	797
28	23	795
29	24	793
30	25	797
31	26	798
32	27	796
33	28	795
34	28	793
35	29	791
36	30	790
37	31	788
38	31	786
39	32	784
40	33	782
41	34	780
42	34	778
43	35	776
44	36	775
45	37	774
46	38	772
47	38	772
48	39	770
49	40	768
50	41	768
51	42	766
52	42	765
53	43	763
54	44	762
55	45	761
56	45	760
57	46	759
58	47	757
59	48	756
60	49	755
61	49	754
62	50	753
63	51	752
64	52	750
65	53	752
66	53	751
67	54	745
68	55	744
69	55	742
70	56	743
71	57	742
72	58	740
73	59	739
74	59	738
75	60	736
76	61	735
77	62	734
78	62	733
79	63	732
80	64	730
81	65	730
82	66	729
83	66	728
84	67	725
85	68	724
86	68	721
87	69	720
88	70	720
89	71	719
90	71	718
91	72	717
92	73	716
93	74	715
94	74	714
95	75	713
96	76	712
97	77	711
98	78	710
99	78	709
100	79	708
101	80	704
102	80	703
103	81	702
104	82	701
105	83	700
106	83	700
107	84	699
108	85	699
109	86	699
110	87	699
111	88	699
112	89	699
113	89	698
114	90	698
115	91	696
116	92	695
117	92	694
118	93	692
119	94	691
120	95	690
121	95	689
122	96	685
123	96	684
124	97	684
125	98	683
126	99	683
127	99	680
128	100	679
129	101	678
130	102	677
131	102	676
132	103	675
133	104	675
134	105	674
135	106	673
136	106	672
137	107	670
138	108	670
139	108	669
140	109	668
141	110	667
142	111	666
143	112	666
144	112	665
145	113	664
146	114	663
147	115	662
148	115	661
149	116	661
150	117	660
151	118	659
152	118	658
153	119	657
154	120	656
155	121	655
156	122	655
157	122	654
158	123	653
159	124	652
160	125	651
161	125	650
162	126	650
163	127	650
164	128	650
165	129	650
166	130	650
167	131	649
168	134	660
169	135	659
170	135	659
171	136	658
172	137	657
173	138	656
174	139	655
175	139	654
176	140	654
177	141	653
178	142	652
179	143	652
180	143	649
181	144	648
182	145	648
183	145	647
184	146	646
185	147	646
186	148	645
187	149	644
188	150	644
189	151	644
190	151	643
191	152	643
192	153	642
193	154	641
194	155	641
195	156	641
196	157	640
197	157	639
198	158	639
199	159	638
200	160	638
